id;nombre;distrito;id_cruce;activo;fecha_denuncia;utm_x;utm_y;longitud;latitud
724;ALBERTO AGUILERA - BALTASAR GRACIÁN;1;701;1;26/09/2016;439697,113826276;4475730,96149385;-3,7109330225262;40,4300318814237
1466;ALCALA - SAN ROMUALDO;20;702;1;02/02/2016;447073,280236096;4476962,73631374;-3,6240804936097;40,4416304601236
1467;ASCAO - EMILIO FERRARI;15;701;1;02/02/2016;445706,566438322;4475742,80173932;-3,6400908007429;40,4305524899077
1471;AVDA. AMERICA - CARTAGENA;5;702;1;26/09/2016;442927,543009459;4476728,35017722;-3,6729404308478;40,4392447733440
832;AVDA. ANDALUCÍA - ALCOCER;17;702;1;06/09/2012;441147,213532004;4466911,04513080;-3,6930234934869;40,3506812407502
542;AVDA. ANDALUCÍA - METRO SAN CRISTOBAL;17;701;1;30/11/2009;441152,501967866;4465919,82060939;-3,6928698440320;40,3417520664563
109;AVDA. CARDENAL HERRERA ORIA, 83;8;701;1;13/03/2009;440590,410952932;4482292,13425298;-3,7010164870912;40,4892018944789
1469;AVDA. CIUDAD BARCELONA - MENÉNDEZ PELAYO;3;704;1;02/02/2016;442264,493360191;4472835,46751537;-3,6804044866607;40,4041299391769
1474;AVDA. DE LA PESETA - CTRA  BARRIO FORTUNA;10;703;1;26/09/2016;434981,951894882;4469050,93347739;-3,7658350496983;40,3695005251065
436;AVDA. DE LOS POBLADOS, 45;10;701;1;30/11/2009;435510,620227769;4470665,42447224;-3,7597718445530;40,3840856059446
539;AVDA. FILIPINAS, 18;7;701;1;08/12/2009;439774,020292001;4476846,36984211;-3,7101321157429;40,4400855313958
541;AVDA. ILUSTRACIÓN - BETANZOS;8;704;1;30/11/2009;439643,330553221;4481335,97311968;-3,7120999194573;40,4805201405988
536;AVDA. LOGROÑO, 44;21;701;1;17/12/2009;449665,206915011;4479011,14474543;-3,5936820012894;40,4602447254292
1465;AVDA. MARQUÉS CORBERA - RICARDO ORTIZ;15;702;1;02/02/2016;444355,524465807;4474898,49945582;-3,6559439951609;40,4228572739567
769;AVDA. MEDITERRÁNEO, 32;3;702;1;12/12/2011;442886,682507929;4473142,78504318;-3,6731001392556;40,4069413363842
535;CAMINO DE LOS VINATEROS, 47;14;701;1;06/12/2009;444443,280882935;4473552,42168130;-3,6547920067833;40,4107369125276
718;CARDENAL HERRERA ORIA - LA MASÓ;8;702;1;09/04/2012;439500,607875355;4481641,36109248;-3,7138128068880;40,4832607958965
1547;CEA BERMÚDEZ - VALLEHERMOSO;7;703;1;02/02/2016;439896,399138432;4476708,96816872;-3,7086762383598;40,4388566130951
1472;CNO BARRIAL - FDO LAZARO CARRETER;9;701;1;26/09/2016;432742,214777345;4479368,56991345;-3,7933050239540;40,4622670827045
1473;CTRA. CARABANCHEL ARAVACA - VILLAVICIOSA;10;702;1;26/09/2016;434287,189798615;4472103,57550117;-3,7743326445944;40,3969454079397
722;FRANCISCO PI Y MARGALL ESQ, ANA DE AUSTRIA;16;701;1;23/07/2014;444089,969701589;4482465,43224735;-3,6597406437581;40,4910061217470
770;FRANCISCO SILVELA, 62;4;701;1;12/12/2011;442747,536501916;4476282,08317224;-3,6750225366017;40,4352122060793
1551;FRANCISCO SILVELA, 99;5;704;1;;442354,195188835;4476759,67234826;-3,6797031586465;40,4394873905306
720;FUENTE CARRANTONA - HACIENDA PAVONES;14;702;1;09/04/2012;445994,598702282;4472405,94368292;-3,6364119605541;40,4005108310187
1475;GRAL RICARDOS - PSO QUINCE DE MAYO;11;701;1;26/09/2016;439124,113846667;4472056,52730187;-3,7173362327617;40,3968891905669
220;HNOS. GARCÍA NOBLEJAS 123;20;701;1;01/09/2007;446960,026277017;4474600,50514584;-3,6252187260059;40,4203428660344
1550;JOAQUIN COSTA, 36;5;703;1;;442232,349991532;4476921,09279313;-3,6811544192886;40,4409330874192
728;JOAQUIN COSTA - VELAZQUEZ;5;701;1;26/09/2016;442051,847832934;4477144,55321753;-3,6833030102454;40,4429335645638
1468;JOSE ABASCAL - SANTA ENGRACIA;7;702;1;02/02/2016;440561,568956161;4476668,94997951;-3,7008300960524;40,4385439217755
768;MENÉNDEZ PELAYO - NIÑO JESÚS;3;701;1;23/02/2012;442516,727551357;4474002,27980424;-3,6775375474637;40,4146586584747
1470;MONFORTE DE LEMOS - FINISTERRE;8;706;1;26/09/2016;440473,442488610;4481252,08729235;-3,7022989226766;40,4798243892770
618;O'DONNELL CARRIL CENTRAL;4;702;1;08/07/2010;443315,104089356;4474707,54321964;-3,6681907945495;40,4210668083416
439;PO CASTELLANA, 105;6;702;1;30/11/2009;441447,017958031;4478449,26376066;-3,6905547438765;40,4546446063381
545;PO CASTELLANA, 167;6;701;1;26/10/2006;441514,604798787;4479282,58964890;-3,6898344823679;40,4621563254172
746;SINESIO DELGADO GTA P, CEBRERO;8;703;1;30/06/2014;439714,244296082;4480306,28696554;-3,7111654472985;40,4712495042102
538;VENTISQUERO DE LA CONDESA, 42;8;705;1;30/11/2009;439202,255200976;4482846,00950771;-3,7174482694785;40,4940908754854
734;VIA LUSITANA - PL ELÍPTICA;11;702;1;26/09/2016;439020,562988094;4470701,56814429;-3,7184266162498;40,3846754884064
